,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
187,0.848,0.85,0.842,0.843,0.849,0.851,0.849,0.85,0.5019899087719908,0.5069805239603743,0.5,20,1,90
188,0.85,0.851,0.842,0.843,0.848,0.849,0.848,0.849,0.5025068215749438,0.5074286658540499,0.5,20,1,91
189,0.851,0.851,0.842,0.843,0.848,0.851,0.848,0.85,0.5024316397190751,0.5067293029294397,0.5,20,1,92
190,0.852,0.85,0.842,0.843,0.849,0.849,0.849,0.85,0.5023987358850245,0.5105218621102767,0.5,20,1,93
191,0.851,0.849,0.842,0.843,0.849,0.849,0.849,0.85,0.5021091899444485,0.5067306632099504,0.5,20,1,94
192,0.85,0.853,0.842,0.843,0.849,0.852,0.849,0.852,0.5049378180323998,0.5064520778666063,0.5,20,1,95
193,0.848,0.853,0.842,0.843,0.85,0.852,0.849,0.851,0.5054894965053246,0.5072023445587168,0.5,20,1,96
194,0.847,0.852,0.842,0.843,0.85,0.851,0.85,0.851,0.5054021824679847,0.5077992008054814,0.5,20,1,97
195,0.849,0.855,0.842,0.843,0.85,0.852,0.85,0.853,0.5051669841246398,0.5074364193329675,0.5,20,1,98
196,0.849,0.855,0.842,0.843,0.849,0.854,0.849,0.854,0.5075877524634544,0.5068635862954107,0.5,20,1,99
197,0.848,0.854,0.842,0.843,0.85,0.852,0.849,0.852,0.5074679954783163,0.5074440810922802,0.5,20,1,100
198,0.849,0.853,0.842,0.843,0.851,0.852,0.851,0.852,0.5078482824046862,0.5069708997221627,0.5,20,1,101
199,0.849,0.852,0.842,0.843,0.851,0.851,0.85,0.851,0.5045243984424868,0.5038140680946721,0.5,20,1,102
200,0.836,0.801,0.842,0.844,0.851,0.851,0.851,0.852,0.5,0.5,0.5,20,2,3
201,0.834,0.803,0.842,0.844,0.849,0.851,0.849,0.851,0.5,0.5,0.5,20,2,4
202,0.833,0.787,0.842,0.844,0.849,0.846,0.849,0.846,0.5011521821030844,0.5,0.5,20,2,5
203,0.838,0.821,0.842,0.844,0.853,0.851,0.852,0.852,0.520980054225096,0.520980054225096,0.5,20,2,6
204,0.837,0.815,0.842,0.844,0.854,0.85,0.853,0.853,0.5179491924311227,0.5179491924311227,0.5,20,2,7
